id,cityname,countryname,regionname
1,Moskva (Moscow),Russia,Eastern Europe
2,London,UK,Western Europe
3,St Petersburg,Russia,Eastern Europe
4,Berlin,Germany,Central Europe
5,Madrid,Spain,Southern Europe
6,Roma,Italy,Southern Europe
7,Kiev,Ukraine,Eastern Europe
8,Paris,France,Western Europe
9,Bucuresti (Bucharest),Romania,Eastern Europe
10,Budapest,Hungary,Central Europe
11,Hamburg,Germany,Central Europe
12,Minsk,Belarus,Eastern Europe
13,Warszawa (Warsaw),Poland,Central Europe
14,Beograd (Belgrade),Serbia,Eastern Europe
15,Wien (Vienna),Austria,Central Europe
16,Kharkov,Ukraine,Eastern Europe
17,Barcelona,Spain,Southern Europe
18,Novosibirsk,Russia,Eastern Europe
19,Nizhny Novgorod,Russia,Eastern Europe
20,Milano (Milan),Italy,Southern Europe
21,Ekaterinoburg,Russia,Eastern Europe
22,München (Munich),Germany,Central Europe
23,Praha (Prague),Czech Republic,Central Europe
24,Samara,Russia,Eastern Europe
25,Omsk,Russia,Eastern Europe
26,Sofia,Bulgaria,Eastern Europe
27,Dnepropetrovsk,Ukraine,Eastern Europe
28,Kazan,Russia,Eastern Europe
29,Ufa,Russia,Eastern Europe
30,Chelyabinsk,Russia,Eastern Europe
31,Donetsk ,Ukraine,Eastern Europe
32,Napoli (Naples),Italy,Southern Europe
33,Birmingham,UK,Western Europe
34,Perm,Russia,Eastern Europe
35,Rostov-Na-Donu,Russia,Eastern Europe
36,Odessa,Ukraine,Eastern Europe
37,Volgograd,Russia,Eastern Europe
38,Köln (Cologne),Germany,Central Europe
39,Torino (Turin),Italy,Southern Europe
40,Voronezh,Russia,Eastern Europe
41,Krasnoyarsk,Russia,Eastern Europe
42,Saratov,Russia,Eastern Europe
43,Zagreb,Croatia,Eastern Europe
44,Zaporozhye,Ukraine,Eastern Europe
45,Lódz,Poland,Central Europe
46,Marseille,France,Western Europe
47,Riga,Latvia,Northern Europe
48,Lvov,Ukraine,Eastern Europe
49,Athinai (Athens),Greece,Southern Europe
50,Salonika,Greece,Southern Europe
51,Stockholm,Sweden,Northern Europe
52,Kraków,Poland,Central Europe
53,Valencia,Spain,Southern Europe
54,Amsterdam,Netherlands,Western Europe
55,Leeds,UK,Western Europe
56,Tolyatti,Russia,Eastern Europe
57,Kryvy Rig,Ukraine,Eastern Europe
58,Sevilla,Spain,Southern Europe
59,Palermo,Italy,Southern Europe
60,Ulyanovsk,Russia,Eastern Europe
61,Kishinev,Moldova,Eastern Europe
62,Genova,Italy,Southern Europe
63,Izhevsk,Russia,Eastern Europe
64,Frankfurt Am Main,Germany,Central Europe
65,Krasnodar,Russia,Eastern Europe
66,Wroclaw (Breslau),Poland,Central Europe
67,Glasgow,UK,Western Europe
68,Yaroslave,Russia,Eastern Europe
69,Khabarovsk,Russia,Eastern Europe
70,Vladivostok,Russia,Eastern Europe
71,Zaragoza,Spain,Southern Europe
72,Essen,Germany,Central Europe
73,Rotterdam,Netherlands,Western Europe
74,Irkutsk,Russia,Eastern Europe
75,Dortmund,Germany,Central Europe
76,Stuttgart,Germany,Central Europe
77,Barnaul,Russia,Eastern Europe
78,Vilnius,Lithuania,Northern Europe
79,Poznan,Poland,Central Europe
80,Düsseldorf,Germany,Central Europe
81,Novokuznetsk,Russia,Eastern Europe
82,Lisboa (Lisbon),Portugal,Southern Europe
83,Helsinki,Finland,Northern Europe
84,Málaga,Spain,Southern Europe
85,Bremen,Germany,Central Europe
86,Sheffield,UK,Western Europe
87,Sarajevo,Bosnia,Eastern Europe
88,Penza,Russia,Eastern Europe
89,Ryazan,Russia,Eastern Europe
90,Orenburg,Russia,Eastern Europe
91,Naberezhnye Tchelny,Russia,Eastern Europe
92,Duisburg,Germany,Central Europe
93,Lipetsk,Russia,Eastern Europe
94,Hannover,Germany,Central Europe
95,Mykolaiv ,Ukraine,Eastern Europe
96,Tula,Russia,Eastern Europe
97,Oslo,Norway,Northern Europe
98,Tyumen,Russia,Eastern Europe
99,Kobenhavn (Copenhagen),Denmark,Northern Europe
100,Kemerovo,Russia,Eastern Europe
